function,source,sequence,x1,x2,x3,x4,x5,x6,x7,x8,output,external_hash_verified
1,starter,1,0.31940388883889725,0.7629593742689353,,,,,,,1.3226770395454077e-79,False
1,starter,2,0.5743292145098291,0.879898104984359,,,,,,,1.0330782375230975e-46,False
1,starter,3,0.7310236309563586,0.7329998764152272,,,,,,,7.710875114502849e-16,False
1,starter,4,0.8403534169072556,0.26473161399676703,,,,,,,3.341771007676023e-124,False
1,starter,5,0.6501140597987644,0.6815263520602101,,,,,,,-0.0036060626443634764,False
1,starter,6,0.41043713662518566,0.14755429902998185,,,,,,,-2.1592490357331095e-54,False
1,starter,7,0.31269115679477755,0.07872277794971883,,,,,,,-2.0890932702320842e-91,False
1,starter,8,0.6834181688515067,0.8610574643936101,,,,,,,2.5350011535584046e-40,False
1,starter,9,0.08250725182080587,0.403487506426324,,,,,,,3.6067711901420254e-81,False
1,starter,10,0.8838898288181171,0.5822539743824439,,,,,,,6.229856468168659e-48,False
1,week_01,1,0.74,0.74,,,,,,,6.854713532414845e-19,False
1,week_02,2,0.3,0.3,,,,,,,6.659572754640724e-23,False
1,week_03,3,0.6,0.6,,,,,,,0.025559285339829783,False
1,week_04,4,0.7,0.7,,,,,,,1.4754580129542488e-07,False
1,week_05,5,0.45,0.45,,,,,,,0.012779642669914939,False
1,week_06,6,0.5,0.5,,,,,,,2.6752879910742468e-09,False
1,week_07,7,0.35,0.7,,,,,,,-1.4546199699251391e-58,False
1,week_08,8,0.35,0.7,,,,,,,-1.4546199699251391e-58,False
1,week_09,9,0.35,0.7,,,,,,,-1.4546199699251391e-58,False
1,week_10,10,0.45,0.65,,,,,,,2.8950706668499033e-23,False
1,week_11,11,0.6,0.6,,,,,,,0.025559285339829783,False
1,week_12,12,0.6,0.6,,,,,,,0.025559285339829783,False
1,week_13,13,0.6,0.6,,,,,,,0.025559285339829783,False
2,starter,1,0.6657995800131589,0.12396912767534907,,,,,,,0.5389961189269181,False
2,starter,2,0.8777909889953304,0.7786275008473289,,,,,,,0.42058623962798264,False
2,starter,3,0.14269907423594608,0.34900513057320015,,,,,,,-0.06562362443733738,False
2,starter,4,0.8452754286767249,0.7111202665952655,,,,,,,0.293992912410866,False
2,starter,5,0.45464714105124415,0.2904551797740609,,,,,,,0.2149645101004509,False
2,starter,6,0.5777128444074784,0.7719731841154063,,,,,,,0.023105549798190586,False
2,starter,7,0.4381660616117107,0.6850182567997548,,,,,,,0.24461934400448035,False
2,starter,8,0.34174959302885033,0.028697719822277867,,,,,,,0.0387490151561584,False
2,starter,9,0.33864815688701766,0.21386724563864368,,,,,,,-0.013857618149729824,False
2,starter,10,0.7026365569244406,0.9265641975455574,,,,,,,0.6112052157614438,False
2,week_01,1,0.72,0.94,,,,,,,0.45494185399727516,False
2,week_02,2,0.76,0.9,,,,,,,0.41213721316888097,False
2,week_03,3,0.8,0.92,,,,,,,0.14098828808535324,False
2,week_04,4,0.68,0.96,,,,,,,0.5228458934672892,False
2,week_05,5,0.64,0.98,,,,,,,0.28016822307722516,False
2,week_06,6,0.7,0.95,,,,,,,0.5712475315739602,False
2,week_07,7,0.76,0.985,,,,,,,0.2399291698606551,False
2,week_08,8,0.72,0.94,,,,,,,0.5672775862793291,False
2,week_09,9,0.725,0.945,,,,,,,0.47297842839949866,False
2,week_10,10,0.7,0.955,,,,,,,0.5311818841205426,False
2,week_11,11,0.695,0.95,,,,,,,0.5848554940277205,False
2,week_12,12,0.69,0.95,,,,,,,0.7335252043269003,False
2,week_13,13,0.685,0.95,,,,,,,0.6413430885133908,False
3,starter,1,0.1715252068810621,0.3439168702758373,0.2487372010692387,,,,,,-0.11212220046256897,False
3,starter,2,0.2421144606124933,0.6440742697791076,0.27243280919945523,,,,,,-0.08796286022736445,False
3,starter,3,0.5349057202251034,0.39850091536763166,0.17338872894567725,,,,,,-0.111414654295324,False
3,starter,4,0.49258141463713434,0.6115931882759961,0.3401763860035727,,,,,,-0.034835313350078584,False
