function,degree,alpha,chronological_rmse,normalised_rmse,validation_predictions
F1,3,1.0,0.009732249527731716,0.33369221354760986,18
F1,2,1.0,0.010248532437044095,0.3513941422059681,18
F1,2,0.1,0.010315454616610983,0.35368872067638985,18
F1,2,0.01,0.010369277252928627,0.35553415164285096,18
F1,2,0.0001,0.010378221810583918,0.355840836056839,18
F1,2,1e-06,0.010378315707984203,0.3558440555418367,18
F1,3,0.1,0.010475511119586155,0.35917662032572434,18
F1,3,10.0,0.010488647274293668,0.3596270231364377,18
F1,2,10.0,0.010624180906134408,0.36427410061736454,18
F1,1,1e-06,0.011405831968654476,0.3910747773294581,18
F1,1,0.0001,0.011405832279728356,0.3910747879953305,18
F1,1,0.01,0.01140586345562809,0.3910758569316501,18
F1,1,0.1,0.011406152421577475,0.39108576478358253,18
F1,1,1.0,0.011409231320939432,0.3911913318203148,18
F1,1,10.0,0.011430687115708292,0.3919269923301941,18
F1,3,0.01,0.012797428785754121,0.43878882544758296,18
F1,3,0.0001,0.014237208367145855,0.4881549287483925,18
F1,3,1e-06,0.014281406840103133,0.4896703734803131,18
F2,2,10.0,0.2050830048737463,0.2566267977779259,18
F2,1,10.0,0.2059402149285246,0.2576994516115101,18
F2,1,1.0,0.20726210174235873,0.25935357005134846,18
F2,1,0.1,0.21208338608184021,0.26538659439668455,18
F2,1,0.01,0.21286832327849073,0.2663688109355792,18
F2,1,0.0001,0.21295988133479665,0.26648338040375635,18
F2,1,1e-06,0.21296080242381116,0.26648453299133623,18
F2,2,1.0,0.2220151307508619,0.2778144980756271,18
F2,3,10.0,0.22339337505336623,0.2795391384090623,18
F2,2,0.1,0.23121424391072107,0.2893256369633411,18
F2,2,0.01,0.24146006213788818,0.3021465507385771,18
F2,2,0.0001,0.2435696944908636,0.30478639988437095,18
F2,2,1e-06,0.24359246212149788,0.30481488973484033,18
F2,3,1.0,0.25481985370521143,0.3188640770446372,18
F2,3,0.1,0.28222850733383736,0.3531613851831091,18
F2,3,0.01,0.3040094556285444,0.3804165690871986,18
F2,3,0.0001,0.31831895481429956,0.3983224943300381,18
F2,3,1e-06,0.3185890285731476,0.3986604460971271,18
F3,1,10.0,0.10214964146956697,0.28056135959369144,23
F3,2,10.0,0.12118310648749098,0.33283814438102394,23
F3,1,1.0,0.1331682099577933,0.36575609569366635,23
F3,2,1.0,0.14381480776312702,0.39499774463475984,23
F3,1,0.1,0.1450229269361804,0.3983159310998983,23
F3,1,0.01,0.14656626948617488,0.4025548327535497,23
F3,1,0.0001,0.14674126638833485,0.40303547436998954,23
F3,1,1e-06,0.14674302175760165,0.403040295618317,23
F3,2,0.1,0.17228907402001062,0.4732043711048498,23
F3,2,0.01,0.1840855162352283,0.5056041506699687,23
F3,2,0.0001,0.18575139815038597,0.5101796155302973,23
F3,2,1e-06,0.18576852341639308,0.5102266513088398,23
F3,3,10.0,0.4252342262672203,1.1679364797657816,23
F3,3,1.0,0.5879250698650472,1.6147786185788648,23
F3,3,0.1,0.6270887177532312,1.722344402854584,23
F3,3,0.01,0.644541240858351,1.7702790166258082,23
F3,3,0.0001,0.6556859685474863,1.800888815228937,23
F3,3,1e-06,0.6814041350608454,1.8715256149224013,23
F4,2,0.1,3.0460058767846365,0.10650326281199503,38
F4,2,1.0,3.576252457392686,0.12504327659203202,38
F4,2,0.01,3.9286848705886337,0.13736603742849363,38
F4,2,10.0,4.60456558441804,0.16099813277117164,38
F4,3,10.0,5.187061802189198,0.18136504940816833,38
F4,3,1.0,5.356697158941702,0.18729633113028035,38
F4,3,0.1,5.566812409294174,0.19464298791110035,38
F4,3,0.01,5.720516059854898,0.20001721926619936,38
F4,3,0.0001,5.996155720799064,0.2096549299071041,38
F4,1,1.0,7.177727619510268,0.25096846230007025,38
F4,1,10.0,7.220664893906888,0.25246975940995015,38
F4,1,0.1,7.297184789548857,0.255145269203945,38
F4,1,0.01,7.33760794520633,0.2565586604266903,38
F4,1,0.0001,7.343561512749849,0.2567668262656301,38
F4,1,1e-06,7.343623220243811,0.25676898386141705,38
F4,2,0.0001,10.425717983564276,0.3645340906496866,38
F4,2,1e-06,10.624289054135463,0.37147710644525256,38
F4,3,1e-06,11.859204478710897,0.414655789394144,38
F5,3,1e-06,159.2460229891649,0.03585940264129093,28
F5,3,0.0001,159.2600607027424,0.03586256368741246,28
F5,3,0.01,161.57862680426976,0.036384663981187296,28
F5,3,0.1,177.2264814226926,0.03990828553670072,28
F5,3,1.0,222.55657386352385,0.05011582482773411,28
F5,2,1e-06,302.0099672172236,0.06800733112727318,28
F5,2,0.0001,302.0111493375301,0.06800759731996828,28
F5,2,0.01,303.11742249667924,0.06825671057190726,28
F5,2,0.1,327.83305552672033,0.07382223628942508,28
F5,3,10.0,332.7503337906537,0.07492952084106286,28
F5,2,1.0,433.1217230855231,0.09753139180041091,28
F5,2,10.0,647.6245993819838,0.14583366563084224,28
F5,1,0.1,913.8125319250992,0.20577450479368795,28
F5,1,0.01,919.7586830761317,0.20711347341776062,28
F5,1,0.0001,923.0395274661663,0.20785226185201672,28
F5,1,1e-06,923.081592526484,0.20786173416351778,28
F5,1,1.0,930.7792246339612,0.20959510548385107,28
F5,1,10.0,1084.8597011140628,0.2442913179326722,28
F6,2,10.0,0.2633276093066967,0.13407627891031187,28
F6,2,1.0,0.28759971087586506,0.14643469840265214,28
F6,1,10.0,0.38951478956798263,0.19832593210908764,28
F6,3,10.0,0.3923488812040178,0.19976894244002436,28
F6,3,1.0,0.3997408914030695,0.20353266939507222,28
F6,2,0.1,0.40981074562846737,0.2086598514147067,28
F6,3,0.1,0.4122756848053422,0.20991490352810172,28
F6,3,0.01,0.4175811780881332,0.21261625641325163,28
F6,3,0.0001,0.4199593857147871,0.21382714816097756,28
F6,3,1e-06,0.4200013975704083,0.21384853898014244,28
F6,1,1.0,0.43477780059809734,0.22137211441853927,28
F6,2,0.01,0.4496088763498015,0.2289235271027651,28
F6,2,0.0001,0.4569733165299492,0.23267321646580402,28
F6,2,1e-06,0.45706604159004505,0.23272042849591404,28
F6,1,0.1,0.7475224691639462,0.3806096570398683,28
F6,1,0.01,1.0452839047647267,0.5322183143829243,28
F6,1,0.0001,1.1062288748826274,0.5632491464070409,28
F6,1,1e-06,1.1068936359877777,0.5635876171643516,28
F7,3,10.0,0.3052823719953162,0.2215034486071231,38
F7,2,10.0,0.3158404267039123,0.22916404660775902,38
F7,3,1.0,0.3275678424776412,0.2376730968360846,38
F7,3,0.1,0.331282988199309,0.24036869168503985,38
F7,3,0.01,0.33179542205545814,0.2407404978446232,38
F7,3,1e-06,0.334080942235801,0.24239880061034885,38
F7,3,0.0001,0.3341012790484254,0.24241355637269615,38
F7,2,1.0,0.36216582524820434,0.2627763232308505,38
F7,1,10.0,0.4140448320846079,0.3004181262916319,38
F7,1,1.0,0.43355199342943357,0.31457191932649714,38
F7,2,0.1,0.44803859346776503,0.3250829483325602,38
F7,2,0.01,0.504092502563987,0.3657539313689271,38
F7,1,0.1,0.5160381587075193,0.374421330060745,38
F7,2,0.0001,0.5165815963151702,0.37481563158366205,38
F7,2,1e-06,0.5167666470736628,0.3749498986915385,38
F7,1,0.01,0.578043924697457,0.4194107964047375,38
F7,1,0.0001,0.5926562840366579,0.430013072470547,38
F7,1,1e-06,0.5928200905752891,0.4301319254294455,38
F8,1,1.0,0.49661232502575137,0.12395819996868268,48
F8,1,0.1,0.5129660918020085,0.12804022409522314,48
F8,1,0.01,0.5283875375073414,0.13188953381674226,48
F8,1,0.0001,0.5314163216176678,0.13264554128472114,48
F8,1,1e-06,0.5314488000212738,0.13265364814040306,48
F8,1,10.0,0.5435493292748483,0.13567403194755828,48
F8,2,1.0,0.7613849854207917,0.1900474626179466,48
F8,2,0.1,0.7629734607635845,0.1904439581019784,48
F8,2,0.01,0.7636569360740612,0.1906145587192815,48
F8,2,0.0001,0.7637818058142188,0.19064572715276673,48
F8,2,1e-06,0.7637844014430665,0.19064637504139842,48
F8,2,10.0,0.7705621867083032,0.1923381616099445,48
F8,3,10.0,0.8327166919353093,0.20785239716075213,48
F8,3,1.0,0.8460786533038029,0.21118764398372147,48
F8,3,0.1,0.847946507428448,0.21165387452901266,48
F8,3,1e-06,0.8483372832268293,0.21175141512983475,48
F8,3,0.0001,0.8483397698485085,0.21175203580945107,48
F8,3,0.01,0.8483437126797215,0.21175301997000312,48
