function,clusters,n_init,random_state,silhouette_score,inertia
F1,3,50,42,0.5869830130703245,3.6746780468407554
F1,2,50,42,0.41183502844428066,10.630275321167781
F2,2,50,42,0.5259373483496523,9.14736537981694
F2,3,50,42,0.3930681100261747,5.343856930442423
F3,2,50,42,0.8276869855194843,1.947001581466281
F3,3,50,42,0.7124425069137712,0.863287976917116
F4,3,50,42,0.651132045817894,3.2023457694540527
F4,2,50,42,0.6488638849275463,10.339786508965652
F5,2,50,42,0.5694856844555669,11.686229732888743
F5,3,50,42,0.5452168834714884,3.5572782637138527
F6,3,50,42,0.7122881284409617,3.4201410147936806
F6,2,50,42,0.6539982226221384,15.789446322936776
F7,2,50,42,0.6228719595207801,16.39585517982028
F7,3,50,42,0.4196636245498821,10.099988319283792
F8,3,50,42,0.4271112220662444,18.28211867141001
F8,2,50,42,0.41915497420364184,39.740403459144694
