Week,Function,Dimension,Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Output,Source
1,1,2,0.740000,0.740000,,,,,,,6.854713532414845e-19,Strategic_Optimisation_Engine_v1 exact history
1,2,2,0.720000,0.940000,,,,,,,0.45494185399727516,Strategic_Optimisation_Engine_v1 exact history
1,3,3,0.530000,0.640000,0.250000,,,,,,-0.10183633971746164,Strategic_Optimisation_Engine_v1 exact history
1,4,4,0.600000,0.430000,0.420000,0.250000,,,,,-4.359874926582439,Strategic_Optimisation_Engine_v1 exact history
1,5,4,0.210000,0.870000,0.900000,0.900000,,,,,1415.8763939603884,Strategic_Optimisation_Engine_v1 exact history
1,6,5,0.750000,0.180000,0.700000,0.720000,0.040000,,,,-0.7001549808025808,Strategic_Optimisation_Engine_v1 exact history
1,7,6,0.050000,0.500000,0.250000,0.220000,0.420000,0.740000,,,1.3199939052019112,Strategic_Optimisation_Engine_v1 exact history
1,8,8,0.060000,0.070000,0.030000,0.040000,0.410000,0.820000,0.500000,0.910000,9.58024,Strategic_Optimisation_Engine_v1 exact history
2,1,2,0.300000,0.300000,,,,,,,6.659572754640724e-23,Strategic_Optimisation_Engine_v1 exact history
2,2,2,0.760000,0.900000,,,,,,,0.41213721316888097,Strategic_Optimisation_Engine_v1 exact history
2,3,3,0.750000,0.250000,0.750000,,,,,,-0.1332555781557258,Strategic_Optimisation_Engine_v1 exact history
2,4,4,0.200000,0.800000,0.800000,0.800000,,,,,-23.120154471959825,Strategic_Optimisation_Engine_v1 exact history
2,5,4,0.180000,0.900000,0.950000,0.950000,,,,,2308.1487028593933,Strategic_Optimisation_Engine_v1 exact history
2,6,5,0.250000,0.750000,0.300000,0.300000,0.800000,,,,-2.0702463923015775,Strategic_Optimisation_Engine_v1 exact history
2,7,6,0.080000,0.550000,0.300000,0.250000,0.450000,0.780000,,,1.0696579739950232,Strategic_Optimisation_Engine_v1 exact history
2,8,8,0.080000,0.080000,0.050000,0.050000,0.450000,0.850000,0.550000,0.950000,9.5241,Strategic_Optimisation_Engine_v1 exact history
3,1,2,0.600000,0.600000,,,,,,,0.025559285339829783,Strategic_Optimisation_Engine_v1 exact history
3,2,2,0.800000,0.920000,,,,,,,0.14098828808535324,Strategic_Optimisation_Engine_v1 exact history
3,3,3,0.200000,0.800000,0.200000,,,,,,-0.12787021171886992,Strategic_Optimisation_Engine_v1 exact history
3,4,4,0.800000,0.200000,0.200000,0.200000,,,,,-14.554028542475695,Strategic_Optimisation_Engine_v1 exact history
3,5,4,0.170000,0.920000,0.970000,0.970000,,,,,2840.9903787629305,Strategic_Optimisation_Engine_v1 exact history
3,6,5,0.700000,0.200000,0.700000,0.700000,0.200000,,,,-0.648848297397347,Strategic_Optimisation_Engine_v1 exact history
3,7,6,0.100000,0.580000,0.320000,0.270000,0.470000,0.800000,,,0.8966026942687082,Strategic_Optimisation_Engine_v1 exact history
3,8,8,0.040000,0.040000,0.040000,0.040000,0.470000,0.880000,0.580000,0.970000,9.44296,Strategic_Optimisation_Engine_v1 exact history
4,1,2,0.700000,0.700000,,,,,,,1.4754580129542488e-07,Strategic_Optimisation_Engine_v1 exact history
4,2,2,0.680000,0.960000,,,,,,,0.5228458934672892,Strategic_Optimisation_Engine_v1 exact history
4,3,3,0.850000,0.150000,0.850000,,,,,,-0.06037987403160633,Strategic_Optimisation_Engine_v1 exact history
4,4,4,0.900000,0.100000,0.100000,0.100000,,,,,-22.55187651826871,Strategic_Optimisation_Engine_v1 exact history
4,5,4,0.160000,0.940000,0.980000,0.980000,,,,,3238.333368768757,Strategic_Optimisation_Engine_v1 exact history
4,6,5,0.800000,0.150000,0.800000,0.800000,0.150000,,,,-0.8733671274789931,Strategic_Optimisation_Engine_v1 exact history
4,7,6,0.060000,0.520000,0.280000,0.240000,0.440000,0.760000,,,1.1968303712356705,Strategic_Optimisation_Engine_v1 exact history
4,8,8,0.070000,0.070000,0.050000,0.050000,0.440000,0.840000,0.540000,0.940000,9.539439999999999,Strategic_Optimisation_Engine_v1 exact history
5,1,2,0.450000,0.450000,,,,,,,0.012779642669914939,Strategic_Optimisation_Engine_v1 exact history
5,2,2,0.640000,0.980000,,,,,,,0.28016822307722516,Strategic_Optimisation_Engine_v1 exact history
