seed,anchor_accuracy,accuracy_then_laminar_accuracy,laminar_then_accuracy_accuracy,simultaneous_accuracy,A_to_L_laminarity,L_to_A_laminarity,simultaneous_laminarity
11,0.975,0.9833333333333333,0.975,0.975,0.9776,1.0,1.0
23,0.9916666666666667,1.0,1.0,1.0,0.9776,0.968,0.968
37,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.968,0.968,0.968
53,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9798933333333334,1.0,1.0
89,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667,1.0,1.0,1.0
101,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667,1.0,1.0,1.0
127,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667,1.0,1.0,1.0
149,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667,1.0,1.0,1.0
173,1.0,1.0,1.0,1.0,0.9776,1.0,1.0
197,0.9583333333333334,0.9666666666666667,0.9583333333333334,0.9583333333333334,0.968,1.0,1.0
211,0.975,0.975,0.975,0.975,1.0,1.0,1.0
233,0.975,0.975,0.975,0.975,1.0,1.0,1.0
257,0.975,0.975,0.975,0.975,0.9776,1.0,1.0
281,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,1.0,1.0,1.0
307,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667,1.0,1.0,1.0
331,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.984,1.0,1.0
359,1.0,1.0,1.0,1.0,1.0,1.0,1.0
383,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667,1.0,1.0,1.0
401,0.975,0.975,0.975,0.975,1.0,1.0,1.0
