link,activations
svc->catboost,156
svc->xgb,118
logistic->catboost,51
extra_trees->catboost,34
svc->lgbm,32
logistic->xgb,32
svc->logistic,27
extra_trees->logistic,24
extra_trees->random_forest,20
svc->extra_trees,20
svc->random_forest,19
lgbm->catboost,18
random_forest->catboost,15
extra_trees->svc,14
extra_trees->xgb,13
random_forest->xgb,12
xgb->catboost,10
lgbm->logistic,10
logistic->lgbm,7
extra_trees->lgbm,7
random_forest->logistic,7
catboost->logistic,7
logistic->svc,6
catboost->lgbm,6
lgbm->xgb,6
logistic->random_forest,5
lgbm->random_forest,4
random_forest->svc,4
xgb->random_forest,3
catboost->random_forest,3
catboost->xgb,3
lgbm->svc,2
catboost->extra_trees,2
random_forest->lgbm,1
xgb->extra_trees,1
lgbm->extra_trees,1
logistic->extra_trees,1
catboost->svc,1
xgb->logistic,1
