order,batch,trial,threshold,harm_weight,a0,vmax,curve,oof_accuracy_mean,oof_accuracy_sd,oof_accuracy_worst,rescues_total,harms_total,net_rescue_total,activation_rate_mean
1,1,1,0.15,1.0,0.05,0.55,linear,0.9847878006100829,0.008448964148952593,0.9714285714285714,9,7,2,0.3643250937202538
2,1,2,0.08,3.0,0.3,0.85,linear,0.9831425551087994,0.007739499424359846,0.9692307692307692,13,21,-8,0.4326060114351449
3,1,3,0.02,1.5,0.3,0.85,squared,0.9831954056835706,0.008685681035163128,0.967032967032967,16,19,-3,0.7337228493216614
4,1,4,0.08,1.5,0.1,0.4,linear,0.9851866440151894,0.008087287093016276,0.9714285714285714,12,7,5,0.46941677544165117
5,1,5,0.06,3.0,0.15,0.85,linear,0.9847227145324707,0.0077537299619153,0.9714285714285714,11,12,-1,0.5161694635333967
6,1,6,0.08,2.0,0.05,1.0,squared,0.984877357693377,0.00801936669676177,0.9714285714285714,6,5,1,0.4536253678833584
7,1,7,0.15,3.0,0.15,0.7,sqrt,0.9847227145324707,0.007761533064741738,0.9714285714285714,10,11,-1,0.3247101903751614
8,1,8,0.02,1.0,0.1,0.55,linear,0.9849424437709892,0.008481126794057365,0.9714285714285714,13,9,4,0.7551134678336302
9,1,9,0.15,1.5,0.3,0.4,squared,0.9831954056835706,0.008685681035163128,0.967032967032967,16,19,-3,0.35328012182080226
10,1,10,0.04,3.0,0.2,1.0,sqrt,0.9841569924636171,0.008407828508992115,0.9692307692307692,11,15,-4,0.6046987274897534
11,2,1,0.15,3.0,0.05,0.85,sqrt,0.98495467927383,0.008020692705482606,0.9714285714285714,6,4,2,0.3205730705510176
12,2,2,0.1,2.0,0.2,0.7,squared,0.9842343140440702,0.008423730835485012,0.9692307692307692,11,14,-3,0.4148278413649345
13,2,3,0.08,1.5,0.15,1.0,sqrt,0.984865122190536,0.008182585904886568,0.9714285714285714,14,11,3,0.4625363730659388
14,2,4,0.08,3.0,0.2,0.55,linear,0.9841569924636171,0.008407828508992115,0.9692307692307692,11,15,-4,0.43738021752076855
15,2,5,0.1,1.0,0.3,1.0,squared,0.9833500488444769,0.008644640506154011,0.9692307692307692,19,20,-1,0.4333296018879247
16,2,6,0.04,1.0,0.05,0.4,squared,0.9847878006100829,0.008448964148952593,0.9714285714285714,9,7,2,0.6532282238536467
17,2,7,0.08,1.5,0.1,0.85,linear,0.9851866440151894,0.008087287093016276,0.9714285714285714,12,7,5,0.4641908753761499
18,2,8,0.02,1.5,0.05,0.55,squared,0.9850320008542831,0.008028723187213503,0.9714285714285714,8,5,3,0.7357854518459064
19,2,9,0.15,3.0,0.3,0.85,linear,0.9832198766892524,0.007760343444265031,0.9692307692307692,12,19,-7,0.32476304094993264
20,2,10,0.06,1.0,0.15,0.55,linear,0.9846982435267889,0.008593806024585421,0.9714285714285714,16,13,3,0.5719430704934543
21,3,1,0.02,3.0,0.05,0.4,sqrt,0.98495467927383,0.008020692705482606,0.9714285714285714,6,4,2,0.6979677217526021
22,3,2,0.06,2.0,0.05,1.0,sqrt,0.984877357693377,0.00801936669676177,0.9714285714285714,6,5,1,0.5344312531027813
23,3,3,0.1,2.0,0.2,0.7,linear,0.9842343140440702,0.008423730835485012,0.9692307692307692,11,14,-3,0.41191470145570525
24,3,4,0.08,1.0,0.05,1.0,linear,0.9847878006100829,0.008448964148952593,0.9714285714285714,9,7,2,0.4740208034424271
25,3,5,0.04,1.0,0.1,0.85,squared,0.9849424437709892,0.008481126794057365,0.9714285714285714,13,9,4,0.6496598047922697
26,3,6,0.04,2.0,0.15,0.7,squared,0.9848773576933768,0.00778244332769969,0.9714285714285714,12,11,1,0.6275146731790561
27,3,7,0.1,1.5,0.15,0.55,squared,0.984865122190536,0.008182585904886568,0.9714285714285714,14,11,3,0.4255073769467018
28,3,8,0.04,1.0,0.15,0.4,squared,0.9846982435267889,0.008593806024585421,0.9714285714285714,16,13,3,0.654502075649419
29,3,9,0.15,2.0,0.15,0.7,linear,0.9851215579375773,0.007320697902990389,0.9736263736263736,11,9,2,0.3374266068788107
30,3,10,0.08,3.0,0.05,0.7,linear,0.98495467927383,0.008020692705482606,0.9714285714285714,6,4,2,0.4321391032585129
31,4,1,0.08,1.5,0.05,0.85,sqrt,0.9850320008542831,0.008028723187213503,0.9714285714285714,8,5,3,0.4618007936394246
32,4,2,0.06,1.0,0.1,0.85,linear,0.9849424437709892,0.008481126794057365,0.9714285714285714,13,9,4,0.5662287699395523
33,4,3,0.08,3.0,0.05,0.4,linear,0.98495467927383,0.008020692705482606,0.9714285714285714,6,4,2,0.43649297362726164
34,4,4,0.08,1.5,0.3,0.55,linear,0.9831954056835706,0.008685681035163128,0.967032967032967,16,19,-3,0.4718068571783765
35,4,5,0.15,1.0,0.3,0.55,linear,0.9833500488444769,0.008644640506154011,0.9692307692307692,19,20,-1,0.36797679174991066
36,4,6,0.02,2.0,0.05,0.55,sqrt,0.984877357693377,0.00801936669676177,0.9714285714285714,6,5,1,0.7228472572793194
37,4,7,0.15,1.5,0.2,0.4,squared,0.983977878297029,0.009259606449951874,0.967032967032967,14,16,-2,0.35250988471018463
38,4,8,0.1,3.0,0.05,0.7,sqrt,0.98495467927383,0.008020692705482606,0.9714285714285714,6,4,2,0.3874197824505096
39,4,9,0.08,1.5,0.15,0.85,linear,0.984865122190536,0.008182585904886568,0.9714285714285714,14,11,3,0.46491124060590966
40,4,10,0.04,1.5,0.2,0.55,linear,0.983977878297029,0.009259606449951874,0.967032967032967,14,16,-2,0.6404762197963998
41,5,1,0.1,1.0,0.1,0.55,squared,0.9849424437709892,0.008481126794057365,0.9714285714285714,13,9,4,0.4357910478172762
42,5,2,0.06,2.0,0.05,1.0,linear,0.984877357693377,0.00801936669676177,0.9714285714285714,6,5,1,0.5357794477850933
43,5,3,0.15,2.0,0.05,0.7,linear,0.98495467927383,0.008020692705482606,0.9714285714285714,6,4,2,0.33717942794069705
44,5,4,0.04,1.0,0.15,0.4,linear,0.9846982435267889,0.008593806024585421,0.9714285714285714,16,13,3,0.6537694749168182
45,5,5,0.06,1.5,0.15,0.4,linear,0.984865122190536,0.008182585904886568,0.9714285714285714,14,11,3,0.5578610646445631
46,5,6,0.06,3.0,0.1,0.55,sqrt,0.9851988795180302,0.007657928672092103,0.9714285714285714,9,6,3,0.5200441902226723
47,5,7,0.1,1.0,0.1,0.55,sqrt,0.9849424437709892,0.008481126794057365,0.9714285714285714,13,9,4,0.43505844708467545
48,5,8,0.06,2.0,0.2,0.4,linear,0.98399011379987,0.008929706096142376,0.967032967032967,11,15,-4,0.5442826734808269
49,5,9,0.15,1.5,0.15,0.7,squared,0.984865122190536,0.008182585904886568,0.9714285714285714,14,11,3,0.35081271850362383
50,5,10,0.06,3.0,0.1,0.85,squared,0.9851988795180302,0.007657928672092103,0.9714285714285714,9,6,3,0.5167199714054959
51,6,1,0.1,3.0,0.2,0.85,squared,0.9840796708831641,0.008405510202229497,0.9692307692307692,10,15,-5,0.3895686426369481
52,6,2,0.06,1.5,0.2,0.55,linear,0.983977878297029,0.009259606449951874,0.967032967032967,14,16,-2,0.5583494651329636
53,6,3,0.1,1.5,0.1,0.55,squared,0.9851866440151894,0.008087287093016276,0.9714285714285714,12,7,5,0.4255969340299959
54,6,4,0.06,2.0,0.1,0.85,squared,0.985121557937577,0.007651406372706151,0.9714285714285714,9,7,2,0.5392735239599304
55,6,5,0.1,3.0,0.15,0.55,sqrt,0.9846453929520176,0.007749755049853351,0.9714285714285714,10,12,-2,0.39232713938527103
56,6,6,0.06,1.0,0.3,0.85,squared,0.9833500488444769,0.008644640506154011,0.9692307692307692,19,20,-1,0.5696607387306908
