stack_size,metric,mean_difference_protocol_minus_baseline,wins,ties,losses,wilcoxon_statistic,p_raw,p_holm
3,mean_accuracy,0.013205653021442507,77,1,22,574.0,3.239019066504465e-11,1.6195095332522324e-10
3,mean_log_loss,-0.026301740873839855,34,0,66,1459.0,0.00024707464771706446,0.00024707464771706446
3,mean_active_models,4.543851851851852,100,0,0,0.0,3.895021439772567e-18,1.9415865395733742e-17
3,mean_net_regenerative_efficiency,-0.16241696433810549,0,0,100,0.0,3.895021439772567e-18,1.7747166012786463e-17
5,mean_accuracy,0.0037495126705652947,65,4,31,987.0,9.548348526182237e-07,3.819339410472895e-06
5,mean_log_loss,-0.011975289880908372,31,0,69,1395.0,0.00010219941865390767,0.00020439883730781534
5,mean_active_models,2.3617456140350876,100,0,0,0.0,3.895680685825538e-18,1.9415865395733742e-17
5,mean_net_regenerative_efficiency,-0.08424474385246898,0,0,100,0.0,3.896340037647931e-18,1.7747166012786463e-17
7,mean_accuracy,0.0012699805068226134,57,19,24,1051.0,0.004091467462062958,0.012274402386188873
7,mean_log_loss,-0.013059558828444996,18,0,82,922.0,3.555161448114645e-08,1.0665484344343933e-07
7,mean_active_models,0.9642826510721246,100,0,0,0.0,3.896559845095909e-18,1.9415865395733742e-17
7,mean_net_regenerative_efficiency,-0.033967086257300314,0,0,100,0.0,3.896559845095909e-18,1.7747166012786463e-17
10,mean_accuracy,-4.678362573099615e-05,11,85,4,44.0,0.36203216096820734,0.7240643219364147
10,mean_log_loss,-0.027450906679117107,0,0,100,0.0,3.885145430424942e-18,1.7747166012786463e-17
10,mean_active_models,0.12136062378167663,100,0,0,0.0,3.8831730791467485e-18,1.9415865395733742e-17
10,mean_net_regenerative_efficiency,-0.003069699104410878,26,0,74,719.0,5.303409871820138e-10,5.303409871820138e-10
11,mean_accuracy,0.0,0,100,0,0.0,1.0,1.0
11,mean_log_loss,-0.029450478850882887,0,0,100,0.0,3.549433202557293e-18,1.7747166012786463e-17
11,mean_active_models,0.0,0,100,0,0.0,1.0,1.0
11,mean_net_regenerative_efficiency,0.0015592384384130354,100,0,0,0.0,3.549433202557293e-18,1.7747166012786463e-17
