system,stack_size,mode,evaluations,peak_frequency_ge_99_5pct,near_peak_frequency_ge_99_0pct,median_accuracy,median_ci95_low,median_ci95_high,modal_band_4dp,modal_frequency,sample_sd,mean_accuracy,mean_ci95_low,mean_ci95_high,minimum_accuracy,maximum_accuracy,mean_worst_dataset_accuracy,mean_log_loss,mean_active_models,mean_NRE,ripple_capture_rate,fbw_rate,handover_rate,ils_rate,los_lock_rate,stability_spin_rate,go_around_rate,aligned_deadband_rate
10_stack_MG_DMHLP_LOS_SSV,10,MG_DMHLP_LOS_SSV,100,0.0,0.22,0.9821150097465887,0.9789717348927875,0.9838206627680313,0.9829,10,0.006395248214082191,0.9821067251461988,0.9808377327668549,0.9833757175255428,0.9721247563352827,0.9942982456140351,0.9674900584795322,0.13626343603609058,10.33461111111111,0.6016150016145903,0.027909746588693954,0.003996783625730994,0.01264736842105263,0.01126559454191033,0.8591964912280702,0.9138270955165692,0.013264619883040936,0.8312862573099415
10_stack_baseline,10,baseline,100,0.0,0.18,0.9819688109161794,0.9789717348927875,0.9838206627680312,0.9829,9,0.006460076306839954,0.9821535087719298,0.9808727478146796,0.9834342697291799,0.9721247563352827,0.9942982456140351,0.9676102339181286,0.13844014247945898,10.0,0.6107480500268038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11_stack_MG_DMHLP_LOS_SSV,11,MG_DMHLP_LOS_SSV,100,0.0,0.18,0.9814327485380118,0.9799707602339182,0.9842836257309943,0.9740;0.9760;0.9761;0.9767;0.9800;0.9829;0.9857;0.9906;0.9914;0.9915,10,0.006603895525562716,0.9824805068226118,0.981170150677779,0.9837908629674446,0.9739766081871345,0.9915204678362572,0.9667397660818713,0.13542594558237506,11.0,0.6019957850804932,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11_stack_baseline,11,baseline,100,0.0,0.18,0.9814327485380118,0.9799707602339182,0.9842836257309943,0.9740;0.9760;0.9761;0.9767;0.9800;0.9829;0.9857;0.9906;0.9914;0.9915,10,0.006603895525562716,0.9824805068226118,0.981170150677779,0.9837908629674446,0.9739766081871345,0.9915204678362572,0.9667397660818713,0.13542594558237506,11.0,0.6019957850804932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_stack_MG_DMHLP_LOS_SSV,3,MG_DMHLP_LOS_SSV,100,0.0,0.22,0.9824317738791424,0.9785575048732943,0.9838206627680313,0.9829,9,0.006519234054459785,0.9822597465886937,0.9809661891164719,0.9835533040609156,0.9721247563352827,0.9942982456140351,0.967141812865497,0.1515127988849994,7.5438518518518505,0.6961003398063548,0.5764902534113061,0.09505165692007798,0.3256271929824561,0.15581140350877193,0.24103557504873294,0.991807992202729,0.1727368421052632,0.09373294346978556
3_stack_baseline,3,baseline,100,0.0,0.12,0.9780458089668616,0.9687134502923976,0.9819688109161794,0.9756;0.9772;0.9810,4,0.01938029465290904,0.9690540935672515,0.965208010950904,0.972900176183599,0.9068226120857698,0.9933723196881091,0.9439456140350877,0.18511523523218336,3.0,0.8584790434625836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_stack_MG_DMHLP_LOS_SSV,5,MG_DMHLP_LOS_SSV,100,0.0,0.22,0.9824317738791424,0.9785575048732943,0.9838206627680313,0.9829,9,0.006485067465217126,0.9823645224171539,0.9810777474973254,0.9836512973369824,0.9721247563352827,0.9942982456140351,0.9673362573099415,0.14742227429390407,8.056458333333333,0.6779957199078054,0.46268201754385966,0.06937456140350876,0.2590789473684211,0.13422850877192982,0.3367146198830409,0.9725482456140351,0.13981578947368422,0.19952105263157896
5_stack_baseline,5,baseline,100,0.0,0.15,0.9780458089668616,0.9745614035087721,0.9799707602339182,0.9800;0.9818;0.9857;0.9886,3,0.009514855179681077,0.9786150097465886,0.9767274102815701,0.9805026092116071,0.9532651072124757,0.9942982456140351,0.9613260233918129,0.15801672015060234,5.0,0.7907080772926308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_stack_MG_DMHLP_LOS_SSV,7,MG_DMHLP_LOS_SSV,100,0.0,0.21,0.9823586744639377,0.9785575048732943,0.9838206627680312,0.9829,10,0.0064154790607176,0.9816783625730993,0.9804056825537704,0.9829510425924281,0.9721247563352827,0.9942982456140351,0.9667616959064328,0.14331193062994532,9.16712962962963,0.6398480383334448,0.3133923976608187,0.03787309941520468,0.17456286549707603,0.10185760233918128,0.5215567251461988,0.9472836257309942,0.09479415204678363,0.3216880116959064
7_stack_baseline,7,baseline,100,0.0,0.14,0.9814327485380118,0.9789717348927875,0.9838206627680312,0.9829,10,0.0074518010254935,0.9804083820662768,0.9789298065030537,0.9818869576294999,0.9627192982456141,0.9942982456140351,0.9632567251461988,0.14885231413043792,7.0,0.7241139566135883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
