dataset,arm,mean_accuracy,minimum_accuracy,mean_log_loss,mean_active_models,mean_NRE_proxy
breast_cancer,ECSP3_008CE_reference,0.9674561403508771,0.9385964912280702,0.08766508255098548,3.48,0.893
breast_cancer,certainty_lock,0.9692982456140351,0.9385964912280702,0.08761971500031265,3.0,0.905
breast_cancer,class_pair_expert,0.9672807017543859,0.9298245614035088,0.08769853574477762,3.1125438596491226,0.902186403508772
breast_cancer,full_EFAMES,0.9681578947368421,0.9298245614035088,0.08833233908377937,3.435877192982456,0.8941030701754386
breast_cancer,residual_error_memory,0.968859649122807,0.9298245614035088,0.09613436588839598,3.0,0.905
breast_cancer,residual_learner,0.9700877192982457,0.9385964912280702,0.0878724844702679,3.0,0.905
breast_cancer,single_micro_expert,0.9704385964912281,0.9298245614035088,0.08600310950945973,3.1125438596491226,0.902186403508772
digits,ECSP3_008CE_reference,0.9777499999999999,0.9583333333333334,0.10898101097872823,3.3525555555555555,0.8961861111111111
digits,certainty_lock,0.9783333333333333,0.9555555555555556,0.10484008580776032,3.0,0.905
digits,class_pair_expert,0.9764722222222223,0.9555555555555556,0.10487137635813383,3.0618055555555554,0.9034548611111112
digits,full_EFAMES,0.9783333333333333,0.9583333333333334,0.107750759104774,3.3432222222222223,0.8964194444444444
digits,residual_error_memory,0.9782500000000001,0.9555555555555556,0.10497590709385614,3.0,0.905
digits,residual_learner,0.9783333333333333,0.9555555555555556,0.10806412967164856,3.0,0.905
digits,single_micro_expert,0.9774444444444444,0.9527777777777777,0.10477425459427366,3.0618055555555554,0.9034548611111112
wine,ECSP3_008CE_reference,0.9847222222222223,0.9444444444444444,0.05263366545598853,3.0225,0.9044375000000001
wine,certainty_lock,0.9847222222222222,0.9444444444444444,0.05303328770892147,3.0,0.905
wine,class_pair_expert,0.9847222222222223,0.9444444444444444,0.05261073576608186,3.005,0.904875
wine,full_EFAMES,0.9847222222222223,0.9444444444444444,0.05245909808950627,3.0175,0.9045624999999999
wine,residual_error_memory,0.9847222222222222,0.9444444444444444,0.05286040161800906,3.0,0.905
wine,residual_learner,0.9847222222222222,0.9444444444444444,0.052829342837127174,3.0,0.905
wine,single_micro_expert,0.9847222222222222,0.9444444444444444,0.052564494835795034,3.005,0.904875
