arm,metric,mean_difference_vs_reference,wins,ties,losses,wilcoxon_statistic,p_raw,p_holm
certainty_lock,mean_accuracy,0.0008084795321637461,53,9,38,1530.0,0.025741907214152232,0.0772257216424567
certainty_lock,mean_log_loss,-0.0012622234895692675,30,0,70,1178.0,3.6280600662964084e-06,1.4512240265185634e-05
certainty_lock,mean_active_models,-0.28501851851851845,0,0,100,0.0,3.8822967832827536e-18,2.3276700696904482e-17
certainty_lock,mean_NRE_proxy,0.007125462962962907,100,0,0,0.0,3.8822967832827536e-18,2.3280641181975003e-17
single_micro_expert,mean_accuracy,0.0008923001949317811,57,6,37,1531.5,0.00815930857879685,0.0326372343151874
single_micro_expert,mean_log_loss,-0.0019793000153912744,15,0,85,532.0,7.2377716255597495e-12,4.3426629753358496e-11
single_micro_expert,mean_active_models,-0.22523538011695904,0,0,100,0.0,3.879450116150747e-18,2.3276700696904482e-17
single_micro_expert,mean_NRE_proxy,0.005630884502923998,100,0,0,0.0,3.8801068636625005e-18,2.3280641181975003e-17
class_pair_expert,mean_accuracy,-0.00048440545808966286,36,13,51,1569.5,0.14416851546623707,0.28833703093247415
class_pair_expert,mean_log_loss,-0.0013663703722363032,29,0,71,984.0,1.1663673366980771e-07,5.831836683490386e-07
class_pair_expert,mean_active_models,-0.22523538011695904,0,0,100,0.0,3.879450116150747e-18,2.3276700696904482e-17
class_pair_expert,mean_NRE_proxy,0.005630884502923998,100,0,0,0.0,3.8801068636625005e-18,2.3280641181975003e-17
residual_learner,mean_accuracy,0.0010716374269005768,52,13,35,1225.0,0.003527700886484305,0.021166205318905833
residual_learner,mean_log_loss,-0.0001712673355528721,38,0,62,1655.0,0.0027763506404753155,0.005552701280950631
residual_learner,mean_active_models,-0.28501851851851845,0,0,100,0.0,3.8822967832827536e-18,2.3276700696904482e-17
residual_learner,mean_NRE_proxy,0.007125462962962907,100,0,0,0.0,3.8822967832827536e-18,2.3280641181975003e-17
residual_error_memory,mean_accuracy,0.0006345029239766165,51,10,39,1688.5,0.14842705140736523,0.28833703093247415
residual_error_memory,mean_log_loss,0.0015636385381863139,62,0,38,1441.0,0.0001935369508809404,0.0005806108526428212
residual_error_memory,mean_active_models,-0.28501851851851845,0,0,100,0.0,3.8822967832827536e-18,2.3276700696904482e-17
residual_error_memory,mean_NRE_proxy,0.007125462962962907,100,0,0,0.0,3.8822967832827536e-18,2.3280641181975003e-17
full_EFAMES,mean_accuracy,0.0004283625730994145,31,61,8,188.5,0.0046456027400538155,0.023228013700269078
full_EFAMES,mean_log_loss,-0.00024585423588086583,44,0,56,2050.0,0.10241106650581772,0.10241106650581772
full_EFAMES,mean_active_models,-0.019485380116959022,34,0,66,1570.0,0.0010243550656426252,0.0010243550656426252
full_EFAMES,mean_NRE_proxy,0.00048713450292399484,66,0,34,1569.0,0.0010119284236139608,0.0010119284236139608
