dataset,seed,split_type,n_train,n_validation,n_test,train_validation_overlap,train_test_overlap,validation_test_overlap
iris_small_multiclass,911,random,90,30,30,0,0,0
imbalanced_binary,911,random,720,240,240,0,0,0
high_dimensional_sparse,911,random,660,220,220,0,0,0
noisy_missing_binary,911,random,720,240,240,0,0,0
five_class_multiclass,911,random,780,260,260,0,0,0
nonlinear_moons,911,random,720,240,240,0,0,0
temporal_drift_binary,911,temporal,720,240,240,0,0,0
iris_small_multiclass,929,random,90,30,30,0,0,0
imbalanced_binary,929,random,720,240,240,0,0,0
high_dimensional_sparse,929,random,660,220,220,0,0,0
noisy_missing_binary,929,random,720,240,240,0,0,0
five_class_multiclass,929,random,780,260,260,0,0,0
nonlinear_moons,929,random,720,240,240,0,0,0
temporal_drift_binary,929,temporal,720,240,240,0,0,0
iris_small_multiclass,947,random,90,30,30,0,0,0
imbalanced_binary,947,random,720,240,240,0,0,0
high_dimensional_sparse,947,random,660,220,220,0,0,0
noisy_missing_binary,947,random,720,240,240,0,0,0
five_class_multiclass,947,random,780,260,260,0,0,0
nonlinear_moons,947,random,720,240,240,0,0,0
temporal_drift_binary,947,temporal,720,240,240,0,0,0
