perturbation,arm,runs,median_accuracy,mean_accuracy,minimum_accuracy,maximum_accuracy,sd_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_log_loss,mean_ece,mean_flip_rate,mean_active_models,mean_specialist_activation,rollback_success_rate,homeostasis_restoration_rate,invalid_release_rate
clean,A_DMIC_gated_temporal,10,0.6535714285714286,0.6492857142857142,0.6047619047619047,0.6857142857142857,0.027240842352311594,0.7207542960972418,0.6450859335914126,0.7847550436049029,0.17219475153958608,0.08428571428571428,3.5319047619047614,0.5319047619047619,1.0,1.0,0.0
clean,reference_core,10,0.5797619047619047,0.5835714285714285,0.55,0.6357142857142857,0.031476034387145066,0.6712070008812888,0.5824527598960453,0.8685310339800433,0.2220020285583298,0.0,3.0,0.0,1.0,1.0,0.0
feature_scale_shift,A_DMIC_gated_temporal,10,0.644047619047619,0.6466666666666667,0.6142857142857143,0.6833333333333333,0.02236912892692423,0.7096274219201042,0.6412349900443078,0.8469125600205766,0.20409123013946587,0.14690476190476193,3.453095238095238,0.4530952380952381,1.0,1.0,0.0
feature_scale_shift,reference_core,10,0.5952380952380952,0.6014285714285714,0.5738095238095238,0.638095238095238,0.024389755355245714,0.6765133168050746,0.5988091531126793,0.9025190258359471,0.22751606703709557,0.11738095238095239,3.0,0.0,1.0,1.0,0.0
gaussian_noise,A_DMIC_gated_temporal,10,0.6464285714285714,0.6492857142857142,0.6023809523809524,0.6928571428571428,0.02668012698835768,0.7178981713149123,0.6445153131291015,0.7881579659259245,0.1719812781465551,0.10809523809523809,3.529047619047619,0.529047619047619,1.0,1.0,0.0
gaussian_noise,reference_core,10,0.575,0.588095238095238,0.5571428571428572,0.638095238095238,0.026867160126683744,0.6754106241389134,0.5867459477231052,0.8702437418050714,0.21435398354388538,0.07119047619047619,3.0,0.0,1.0,1.0,0.0
intensified_temporal_drift,A_DMIC_gated_temporal,10,0.669047619047619,0.6707142857142857,0.6404761904761904,0.7023809523809523,0.02144473229513197,0.7304637768614701,0.6640730642280598,0.7244122360534535,0.1501320635647284,0.10809523809523809,3.5561904761904763,0.5561904761904761,1.0,1.0,0.0
intensified_temporal_drift,reference_core,10,0.6178571428571429,0.6238095238095238,0.5880952380952381,0.6857142857142857,0.030819821966583477,0.690963150924296,0.619429991924619,0.7809674075596644,0.17430419573715403,0.060238095238095236,3.0,0.0,1.0,1.0,0.0
missingness,A_DMIC_gated_temporal,10,0.6404761904761904,0.6388095238095238,0.5904761904761905,0.6761904761904762,0.02454037042917669,0.7110955868894381,0.634972676407309,0.8078431988126364,0.180329299030882,0.11047619047619048,3.5366666666666666,0.5366666666666667,1.0,1.0,0.0
missingness,reference_core,10,0.5607142857142857,0.5728571428571428,0.5404761904761904,0.6404761904761904,0.034561646844481674,0.662376889404871,0.5720661054153927,0.8916359721195095,0.23347521601249013,0.05071428571428571,3.0,0.0,1.0,1.0,0.0
outliers,A_DMIC_gated_temporal,10,0.6523809523809524,0.6490476190476191,0.6095238095238096,0.6833333333333333,0.02454393015314295,0.7186780377519082,0.6448732425049987,0.7915416549087762,0.17474268290491827,0.09071428571428572,3.5319047619047614,0.5319047619047619,1.0,1.0,0.0
outliers,reference_core,10,0.5761904761904761,0.5816666666666667,0.55,0.6333333333333333,0.02976020981956342,0.6704348742817153,0.5804438650374815,0.8773743050410143,0.22335164086437804,0.005714285714285714,3.0,0.0,1.0,1.0,0.0
