workload,comparator,metric,mean_difference_gated_minus_comparator,wilcoxon_p_raw
clean,reference_core,accuracy,0.045,0.25
clean,reference_core,cpu_per_inference_ms,0.0014743098888851003,0.625
clean,reference_core,latency_per_inference_ms,-0.00026958311109916074,1.0
clean,reference_core,cost_index_per_1000_predictions,0.0014558064973122288,0.625
clean,permanent_specialist,accuracy,-0.030833333333333334,0.5
clean,permanent_specialist,cpu_per_inference_ms,-0.0050536556666682135,1.0
clean,permanent_specialist,latency_per_inference_ms,-0.0027145603888432865,0.8125
clean,permanent_specialist,cost_index_per_1000_predictions,-0.005241597273984144,1.0
missingness,reference_core,accuracy,0.043333333333333335,0.25
missingness,reference_core,cpu_per_inference_ms,0.012010793888887544,0.0625
missingness,reference_core,latency_per_inference_ms,0.003157147444476828,0.0625
missingness,reference_core,cost_index_per_1000_predictions,0.012229627780444946,0.0625
missingness,permanent_specialist,accuracy,-0.02666666666666666,0.25
missingness,permanent_specialist,cpu_per_inference_ms,0.0006070798888862972,1.0
missingness,permanent_specialist,latency_per_inference_ms,-0.0005398443332877729,1.0
missingness,permanent_specialist,cost_index_per_1000_predictions,0.0005692771080868436,1.0
intensified_temporal_drift,reference_core,accuracy,0.023333333333333362,0.25
intensified_temporal_drift,reference_core,cpu_per_inference_ms,0.003259994833339558,0.8125
intensified_temporal_drift,reference_core,latency_per_inference_ms,-0.0010277787222447738,0.8125
intensified_temporal_drift,reference_core,cost_index_per_1000_predictions,0.0031883650048756622,0.8125
intensified_temporal_drift,permanent_specialist,accuracy,-0.015833333333333345,0.5
intensified_temporal_drift,permanent_specialist,cpu_per_inference_ms,-0.011128669666662616,0.0625
intensified_temporal_drift,permanent_specialist,latency_per_inference_ms,-0.003267801277818054,0.0625
intensified_temporal_drift,permanent_specialist,cost_index_per_1000_predictions,-0.011355070525624868,0.0625
