order,batch,trial,xgb_config,lgbm_config,ridge_alpha,stack_mode,oof_accuracy_mean,oof_accuracy_sd,oof_accuracy_worst
1,1,1,2,1,0.1,full_heterogeneous,0.9806372521300923,0.007705789107169448,0.9507042253521126
2,1,2,0,0,0.1,xgb_lgbm_logistic,0.9755320481675268,0.006906962350458154,0.9647887323943662
3,1,3,3,0,0.03,xgb_lgbm_svc,0.9792507686053511,0.008205166798877029,0.9507042253521126
4,1,4,1,0,0.3,xgb_lgbm_logistic,0.9769713156084413,0.006984224756187241,0.9647887323943662
5,1,5,3,2,0.03,xgb_lgbm,0.9621938590485151,0.010068750810296293,0.945054945054945
6,1,6,2,2,0.1,full_heterogeneous,0.9816390820342715,0.007951786301783262,0.9507042253521126
7,1,7,2,3,0.1,xgb_lgbm_svc,0.9801207609664196,0.008228385005125063,0.9507042253521126
8,1,8,0,3,0.01,full_heterogeneous,0.9802993271442801,0.008148195579650585,0.9507042253521126
9,1,9,1,1,0.1,xgb_lgbm_logistic,0.9758931696274753,0.00651797754050487,0.9647887323943662
10,1,10,3,0,0.1,xgb_lgbm,0.9614451241826347,0.010348105602549625,0.9428571428571428
11,2,1,0,1,1.0,xgb_lgbm_logistic,0.9781263923135193,0.007529996973631509,0.9648351648351648
12,2,2,2,1,1.0,full_heterogeneous,0.982062451614923,0.007491521761420082,0.9577464788732394
13,2,3,1,2,0.03,xgb_lgbm_svc,0.9802248377763683,0.008844791047132126,0.9507042253521126
14,2,4,0,1,0.01,xgb_lgbm_svc,0.9798591520573939,0.009182667745712166,0.9507042253521126
15,2,5,3,1,0.01,xgb_lgbm_logistic,0.9765796563726525,0.006117362257099494,0.9679888656924147
16,2,6,2,3,0.01,xgb_lgbm,0.9601750549332071,0.010743677348552028,0.9384615384615385
17,2,7,2,0,0.01,xgb_lgbm_logistic,0.9761129498472554,0.00634114235695714,0.967032967032967
18,2,8,3,1,0.03,full_heterogeneous,0.9797746010707284,0.007882555260176378,0.9507042253521126
19,2,9,1,0,0.01,full_heterogeneous,0.9805535947516013,0.007911231557027791,0.9507042253521126
20,2,10,0,3,0.01,xgb_lgbm,0.9597998655171758,0.009749689548843967,0.9428571428571428
21,3,1,2,3,0.1,xgb_lgbm_logistic,0.9766120775829972,0.007123995157110176,0.9665970772442589
22,3,2,0,2,0.3,full_heterogeneous,0.9813969989485296,0.007830971343816922,0.9507042253521126
23,3,3,0,0,0.3,xgb_lgbm_svc,0.9801680475228651,0.008678828160179517,0.9507042253521126
24,3,4,1,3,0.1,xgb_lgbm_svc,0.9794308825312384,0.009128496838877934,0.9507042253521126
25,3,5,0,3,0.3,xgb_lgbm_logistic,0.9766706550528481,0.007222333087193753,0.967032967032967
26,3,6,0,2,0.1,xgb_lgbm_svc,0.9805065871560035,0.008999479843279064,0.9507042253521126
27,3,7,1,1,0.03,xgb_lgbm_logistic,0.9758849347175966,0.0070632438149067275,0.9647887323943662
28,3,8,1,0,0.03,xgb_lgbm_svc,0.9799864253414784,0.009096889599937624,0.9507042253521126
29,3,9,0,2,0.3,xgb_lgbm_svc,0.9805297836301394,0.008648124192656462,0.9507042253521126
30,3,10,3,2,0.01,full_heterogeneous,0.9803032767559806,0.008675526397312,0.9507042253521126
31,4,1,1,2,0.1,full_heterogeneous,0.9809379126856853,0.008166895735252323,0.9507042253521126
32,4,2,2,0,0.1,xgb_lgbm_logistic,0.9769255373074949,0.00684947699841899,0.9686847599164927
33,4,3,3,0,0.3,full_heterogeneous,0.9812281759360475,0.007789259922047208,0.9507042253521126
34,4,4,2,0,0.1,full_heterogeneous,0.9815545310476066,0.007816084242543828,0.9507042253521126
35,4,5,0,0,0.1,full_heterogeneous,0.9807929007946651,0.0077345471367856215,0.9507042253521126
36,4,6,1,0,0.1,full_heterogeneous,0.9805917527899946,0.007756295982078723,0.9507042253521126
37,4,7,2,3,0.03,full_heterogeneous,0.9807410499791929,0.007921180596098724,0.9507042253521126
38,4,8,3,0,0.01,xgb_lgbm_logistic,0.9761019378946988,0.006950707727985072,0.9647887323943662
39,4,9,1,1,0.01,xgb_lgbm_svc,0.9798509171475153,0.008802142977934602,0.9507042253521126
40,4,10,3,3,0.3,xgb_lgbm_logistic,0.9769017261860335,0.006901580726287593,0.9659011830201809
41,5,1,2,2,0.3,xgb_lgbm_logistic,0.978222569900067,0.007176027265752626,0.9686847599164927
42,5,2,0,1,0.3,xgb_lgbm_svc,0.9800947874496053,0.008701043679053699,0.9507042253521126
43,5,3,3,0,0.01,xgb_lgbm_svc,0.9791775085320911,0.008306896553923363,0.9507042253521126
44,5,4,2,0,0.3,xgb_lgbm,0.9613783118029053,0.010201454548537053,0.9472527472527472
45,5,5,0,3,1.0,xgb_lgbm_logistic,0.9780641441928161,0.007779086831246856,0.967032967032967
46,5,6,2,2,0.03,xgb_lgbm,0.961313565600372,0.010996333901249917,0.9406593406593406
47,5,7,0,3,0.3,xgb_lgbm_svc,0.9798795714888514,0.008485763413185491,0.9507042253521126
48,5,8,2,2,0.01,xgb_lgbm_logistic,0.9765739195446039,0.0077807444648846525,0.9647887323943662
