function,event_week,current_change,positive_event,large_event,new_best_event,large_event_threshold,amplitude,energy,temporal_dispersion,sign_change_rate,peak_spacing,persistence,amplification,delta2_energy,flicker_density,first_flicker_lag,behaviour
1,7,-2.6752879910742468e-09,0,0,0,0.028754083341491484,1.333338557672689,0.888889659912769,0.943399797381099,1.0,1.0,0.2,-7.373271578114657e-06,3.6666645197230903,0.0,,Stable oscillation
1,8,0.0,0,0,0,0.019169459991940363,2.0000004186797034,1.999986899217852,0.9433997973811191,0.75,1.0,0.4,-1.8073509921824955,7.499933449324419,0.4,-5.0,Damped oscillation
1,9,0.0,0,0,0,0.019169459991940363,1.999988873299602,1.199986564274054,0.7637650591104241,0.5,1.0,0.4,-3.999988362745972,3.4999548653371533,0.2,-5.0,Intermittent oscillation
1,10,2.895070666849904e-23,1,0,0,0.019169459991940363,1.0,0.39999546560961163,0.499999999967917,0.25,5.0,0.4,-3.4594241847776694,1.2499885593219748,0.0,,Irregular flicker
1,11,0.0255592853398297,1,1,0,0.019169459991940363,1.0,0.20000000000000875,2.0933985559835265e-07,0.0,5.0,0.4,-2.5849627523991106,0.24999989533009415,0.0,,Irregular flicker
1,12,0.0,0,0,0,0.028754083341491484,1.333338557672689,0.3555583418753413,4.186796235503887e-07,0.0,5.0,0.4,2.938603364130769,0.4444479273441766,0.0,,Irregular flicker
1,13,0.0,0,0,0,0.028754083341491484,1.333338557672689,0.35555834187533736,1.1326884255008648e-21,0.0,5.0,0.4,2.9386043708460567,0.8888958546883434,0.0,,Irregular flicker
2,7,-0.33131836171330514,0,0,0,0.4067233876252916,1.408294741586397,0.9923291404507275,1.0679066347192316,0.75,1.0,0.4,0.6753592889021596,3.922307438795856,0.0,,Amplifying oscillation
2,8,0.327348416418674,1,0,0,0.42167117518519714,1.3583722146085448,1.1964000389722427,1.4276007193284148,1.0,1.0,0.2,-0.06364724976256612,4.70969455563669,0.0,,Stable oscillation
2,9,-0.09429915787983051,0,0,0,0.4366189627451027,1.3118679144664076,1.1952806300836285,1.5260103100063485,1.0,1.0,0.2,0.07037714349836315,4.414645610604849,0.0,,Stable oscillation
2,10,0.05820345572104396,1,0,0,0.42167117518519714,1.178590266104118,0.9349955169422804,1.0996464463275015,1.0,1.0,0.2,-0.30404616454204747,4.061694372630903,0.0,,Damped oscillation
2,11,0.053673609907177955,1,0,1,0.4067233876252916,1.2219054957021944,0.8539949724505114,0.8921260794354229,1.0,1.0,0.2,-1.7105972156760512,3.476062027668375,0.0,,Damped oscillation
2,12,0.14866971029917975,1,0,1,0.38536994660519386,1.289611571810254,0.7032547004257287,0.7387787898477117,0.75,1.0,0.4,-2.120750542894115,2.4047857372076846,0.0,,Damped oscillation
2,13,-0.09218211581350944,0,0,0,0.3640165055850961,1.3489020884884704,0.49045503844375615,1.4745996334651272,0.5,1.0,0.6,-0.9062318341273009,0.8918311964183127,0.0,,Intermittent oscillation
3,7,0.21601308035039019,1,1,0,0.08031328461824715,3.6094957370192,3.194360955373066,0.8299950686030799,0.5,2.0,0.4,2.4382381794522123,3.434325461374429,0.2,-1.0,Intermittent oscillation
3,8,-0.007941474679027491,0,0,0,0.09077439557457126,3.56950457752597,4.9948914129425415,0.7749101825276413,0.5,2.0,0.4,2.3099327933302076,14.030551073197039,0.4,-2.0,Intermittent oscillation
