function,prediction_week,high_order,target_order,high_delta,high_positive,high_oscillation,next_target_delta,next_target_positive
1,8,6,1,-0.4089463121209369,0,1,0.0,0
1,8,6,2,-0.4089463121209369,0,1,0.0,0
1,8,6,3,-0.4089463121209369,0,1,-2.6752879910742468e-09,0
1,9,6,1,0.2172529866079856,1,1,2.895070666849904e-23,1
1,9,6,2,0.2172529866079856,1,1,2.895070666849904e-23,1
1,9,6,3,0.2172529866079856,1,1,2.895070666849904e-23,1
1,10,6,1,-0.07667766834436823,0,1,0.0255592853398297,1
1,10,6,2,-0.07667766834436823,0,1,0.0255592853398297,1
1,10,6,3,-0.07667766834436823,0,1,0.0255592853398297,1
1,11,6,1,0.038338911958016655,1,1,0.0,0
1,11,6,2,0.038338911958016655,1,1,-0.0255592853398297,0
1,11,6,3,0.038338911958016655,1,1,-0.0511185706796594,0
1,12,6,1,-0.12779642402386052,0,1,0.0,0
1,12,6,2,-0.12779642402386052,0,1,0.0,0
1,12,6,3,-0.12779642402386052,0,1,0.0255592853398297,1
1,9,7,1,0.6261992987289224,1,1,2.895070666849904e-23,1
1,9,7,2,0.6261992987289224,1,1,2.895070666849904e-23,1
1,9,7,3,0.6261992987289224,1,1,2.895070666849904e-23,1
1,10,7,1,-0.2939306549523538,0,1,0.0255592853398297,1
1,10,7,2,-0.2939306549523538,0,1,0.0255592853398297,1
1,10,7,3,-0.2939306549523538,0,1,0.0255592853398297,1
1,11,7,1,0.11501658030238489,1,1,0.0,0
1,11,7,2,0.11501658030238489,1,1,-0.0255592853398297,0
1,11,7,3,0.11501658030238489,1,1,-0.0511185706796594,0
1,12,7,1,-0.16613533598187719,0,1,0.0,0
1,12,7,2,-0.16613533598187719,0,1,0.0,0
1,12,7,3,-0.16613533598187719,0,1,0.0255592853398297,1
1,10,8,1,-0.9201299536812763,0,1,0.0255592853398297,1
1,10,8,2,-0.9201299536812763,0,1,0.0255592853398297,1
1,10,8,3,-0.9201299536812763,0,1,0.0255592853398297,1
1,11,8,1,0.4089472352547387,1,1,0.0,0
1,11,8,2,0.4089472352547387,1,1,-0.0255592853398297,0
1,11,8,3,0.4089472352547387,1,1,-0.0511185706796594,0
1,12,8,1,-0.28115191628426206,0,1,0.0,0
1,12,8,2,-0.28115191628426206,0,1,0.0,0
1,12,8,3,-0.28115191628426206,0,1,0.0255592853398297,1
1,11,9,1,1.329077188936015,1,1,0.0,0
