high_order,target_order,forward_cases,oscillation_cases,positive_after_oscillation,positive_rate_after_oscillation,positive_without_oscillation,positive_rate_without_oscillation,corrected_odds_ratio,fisher_p
6,1,40,38,21,0.5526315789473685,1,0.5,1.2285714285714286,1.0
6,2,40,38,14,0.3684210526315789,0,0.0,2.9591836734693877,0.5333333333333333
6,3,40,38,23,0.6052631578947368,1,0.5,1.5161290322580645,1.0
7,1,32,31,20,0.6451612903225806,0,0.0,5.3478260869565215,0.375
7,2,32,31,12,0.3870967741935484,0,0.0,1.9230769230769231,1.0
7,3,32,31,19,0.6129032258064516,0,0.0,4.68,0.40625
8,1,24,23,17,0.7391304347826086,0,0.0,8.076923076923077,0.2916666666666667
8,2,24,23,9,0.391304347826087,0,0.0,1.9655172413793103,1.0
8,3,24,23,12,0.5217391304347826,1,1.0,0.36231884057971014,1.0
9,1,16,15,9,0.6,0,0.0,4.384615384615385,0.4375
9,2,16,15,3,0.2,0,0.0,0.84,1.0
9,3,16,15,6,0.4,1,1.0,0.22807017543859648,0.4375
10,1,8,8,3,0.375,0,,0.6363636363636364,1.0
10,2,8,8,1,0.125,0,,0.2,1.0
10,3,8,8,6,0.75,0,,2.6,1.0
