validation,model,prediction,n,accuracy,balanced_accuracy,roc_auc,brier_score,log_loss,mean_predicted_probability,observed_improvement_rate
Leave one function out,Delta 1 only,Regularised logistic,56,0.4642857142857143,0.4610472541507024,0.545338441890166,0.24570344526133064,0.6809939451125745,0.5192325577082225,0.5178571428571429
Leave one function out,Delta 1 only,Prevalence baseline,56,0.375,0.36590038314176243,0.2630906768837803,0.263640149937526,0.7205601441870648,0.5178571428571429,0.5178571428571429
Expanding week,Delta 1 only,Regularised logistic,48,0.4791666666666667,0.491304347826087,0.5478260869565217,0.25288971477059946,0.6943097656332782,0.41296675647348396,0.5208333333333334
Expanding week,Delta 1 only,Prevalence baseline,48,0.4791666666666667,0.4791304347826087,0.40956521739130436,0.2683015046296296,0.7307321466773792,0.4548611111111111,0.5208333333333334
Leave one function out,Delta 1 to Delta 2,Regularised logistic,56,0.4642857142857143,0.4610472541507024,0.5134099616858238,0.2512927360248231,0.6923048123841412,0.5160080473620178,0.5178571428571429
Leave one function out,Delta 1 to Delta 2,Prevalence baseline,56,0.375,0.36590038314176243,0.2630906768837803,0.263640149937526,0.7205601441870648,0.5178571428571429,0.5178571428571429
Expanding week,Delta 1 to Delta 2,Regularised logistic,48,0.5,0.5078260869565218,0.5582608695652174,0.26518427436704967,0.7216039333367229,0.4117597713619028,0.5208333333333334
Expanding week,Delta 1 to Delta 2,Prevalence baseline,48,0.4791666666666667,0.4791304347826087,0.40956521739130436,0.2683015046296296,0.7307321466773792,0.4548611111111111,0.5208333333333334
Leave one function out,Delta signature,Regularised logistic,56,0.625,0.623882503192848,0.6590038314176245,0.23778441468527695,0.6724835623248558,0.4963634033088566,0.5178571428571429
Leave one function out,Delta signature,Prevalence baseline,56,0.375,0.36590038314176243,0.2630906768837803,0.263640149937526,0.7205601441870648,0.5178571428571429,0.5178571428571429
Expanding week,Delta signature,Regularised logistic,48,0.5625,0.5626086956521739,0.6417391304347826,0.27512631626190437,0.7877134869839706,0.42407209934312623,0.5208333333333334
Expanding week,Delta signature,Prevalence baseline,48,0.4791666666666667,0.4791304347826087,0.40956521739130436,0.2683015046296296,0.7307321466773792,0.4548611111111111,0.5208333333333334
