order,forward_cases,spearman_next_change,spearman_next_output,direction_hit_rate,permutation_p,null_rho_low,null_rho_high,fdr_q
1,88,-0.17361456679474388,0.07852937447946838,0.42528735632183906,0.11344327836081959,-0.21373929437874867,0.2170761137754282,0.283608195902049
2,80,-0.29853834123052614,0.04122732505297688,0.3783783783783784,0.014992503748125937,-0.24347806380750883,0.22308648091387162,0.07662835249042145
3,72,-0.1299981525474307,-0.14979737831988152,0.4583333333333333,0.2863568215892054,-0.24482355560422372,0.2336674177603618,0.32483758120939527
4,64,-0.30323224178836344,-0.18436208870549117,0.36507936507936506,0.020989505247376312,-0.25943050246705385,0.2506188602196468,0.07662835249042145
5,56,-0.3188772663112632,-0.15241287157881542,0.39285714285714285,0.022988505747126436,-0.2775004879738336,0.2660943093555107,0.07662835249042145
6,48,-0.19415106205965227,-0.16284311615605654,0.375,0.22938530734632684,-0.31885035189133637,0.3102303162758346,0.32483758120939527
7,40,-0.2560420820755815,-0.12192605650411636,0.45,0.15592203898050974,-0.367790653912546,0.31602144151487777,0.2898550724637681
8,32,-0.28275422426435703,-0.15411437990342633,0.375,0.17391304347826086,-0.39647019843915654,0.4136930846350253,0.2898550724637681
9,24,-0.2719554555206648,0.01183470860511845,0.5,0.29235382308845576,-0.4872753157770501,0.48030209896882775,0.32483758120939527
10,16,0.0,-0.6963106238227914,0.5,1.0,-0.5773502691896257,0.5773502691896257,1.0
