through_week,n_train,x1,x2,x3,x4
5,5,-21.274190123540745,44.84000869587956,37.08573357955826,-102.7287275108357
6,6,-24.266824167925982,48.70869162079301,40.68622788574445,-108.51229164220689
7,7,367.01829331317475,132.24930403916792,296.5704116628538,-56.649769529755474
8,8,356.75106299434293,772.3201584834948,-446.72609458895874,36.96992339253675
9,9,333.2522996243982,692.2792778428632,-382.8374644411175,29.623225304212404
10,10,341.05934625356696,719.4994569117705,-404.65463661525735,32.03121737253452
11,11,230.70272217309366,138.93424538257906,114.8513932144521,-16.916622196528948
12,12,357.828757733096,374.3588906241403,-9.78904199147734,-0.398139920310152
13,13,425.0620024797497,499.15546531799697,-76.01988552323384,8.361364848861546

