rank,model,walk_forward_tests,walk_forward_mae,normalised_walk_forward_mae,median_absolute_error,max_absolute_error
1,gp_matern_2.5,8,0.5860940104354031,0.021833656746002697,0.6545749111348043,1.3834047720001976
2,cubic_ridge_1e-2,8,0.7463050896816432,0.027801971809605586,0.1482110622726598,4.242678945396133
3,quadratic_ridge_1e-4,8,0.7818347050379084,0.029125550300759095,0.22461885267055326,3.936525765524747
4,quadratic_ridge_1e-2,8,0.7839094294989684,0.029202839644991884,0.21811891404992778,3.9279647455969755
5,nested_rosenbrock_affine,8,0.8809055163068659,0.03281621775048701,0.8519493176453485,2.051959675474535
6,quadratic_ridge_0.1,8,0.9799037212898523,0.03650418041105606,0.6166103370449285,3.85485897031368
7,extra_trees,8,1.0121449613484208,0.03770525763752577,0.24945890454396658,3.7629628149113046
8,gp_rbf,8,1.0956357612285317,0.04081552567230285,0.5923463230098776,4.790631929202336
9,random_forest,8,2.2161267297451954,0.08255697799565043,0.947326445139772,5.978506980661251
10,linear_ridge_1e-2,8,11.301764113273078,0.4210226241523632,8.87462989605781,34.47492719258731
11,linear_ridge_1e-4,8,12.328571835540766,0.4592741110349586,8.559915580314472,36.169064993879154

